0,1,2,3,4,5,6,7
10627105,完整教材錄影,課程相關疑難釋疑含相關規定,NA,NA,NA,NA,NA
10627105,課程相關疑難釋疑含相關規定,完整教材錄影,NA,NA,NA,NA,NA
10627106,考古題,完整教材錄影,重點整理,教材下載,完整投影片,討論,完整投影片
10627106,完整投影片,完整教材錄影,教材下載,完整教材錄影,NA,NA,NA
10627107,完整教材錄影,NA,NA,NA,NA,NA,NA
10627107,完整教材錄影,NA,NA,NA,NA,NA,NA
10627107,完整教材錄影,重點整理,完整教材錄影,NA,NA,NA,NA
10627107,完整教材錄影,NA,NA,NA,NA,NA,NA
10627107,完整教材錄影,NA,NA,NA,NA,NA,NA
10627107,完整教材錄影,NA,NA,NA,NA,NA,NA
10627107,完整教材錄影,完整投影片,NA,NA,NA,NA,NA
10627107,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627107,完整教材錄影,NA,NA,NA,NA,NA,NA
10627107,完整教材錄影,NA,NA,NA,NA,NA,NA
10627107,完整教材錄影,NA,NA,NA,NA,NA,NA
10627107,完整教材錄影,NA,NA,NA,NA,NA,NA
10627108,教材下載,完整教材錄影,完整投影片,完整教材錄影,完整投影片,NA,NA
10627108,完整教材錄影,NA,NA,NA,NA,NA,NA
10627108,完整教材錄影,完整投影片,完整教材錄影,完整投影片,完整教材錄影,NA,NA
10627108,完整教材錄影,NA,NA,NA,NA,NA,NA
10627108,完整教材錄影,完整投影片,教材下載,完整投影片,NA,NA,NA
10627108,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627108,完整教材錄影,NA,NA,NA,NA,NA,NA
10627109,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627109,完整教材錄影,NA,NA,NA,NA,NA,NA
10627109,完整教材錄影,教材下載,完整教材錄影,NA,NA,NA,NA
10627109,完整教材錄影,完整投影片,完整教材錄影,NA,NA,NA,NA
10627109,完整投影片,NA,NA,NA,NA,NA,NA
10627109,完整教材錄影,討論,重點整理,NA,NA,NA,NA
